Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Sulphur dioxide variant 370 variant 539 variant 77,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 303 variant 134,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium sorbate solution variant 852 variant 78,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Garlic variant 165,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Milk solids variant 101 variant 719 variant 405 variant 531 variant 915,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Artificial butter flavor variant 510 variant 225 variant 620,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Cardamom variant 472,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sea salt variant 655 variant 247,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Coconut oil variant 743,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
"Artificial color (E102, E110) variant 191 variant 459",Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Beta carotene variant 524,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 808 variant 939,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Chemical stabilizer variant 442 variant 128 variant 308,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Coriander variant 439 variant 49,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium caseinate variant 57 variant 210 variant 780 variant 809 variant 831,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ginger variant 728 variant 893,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Riboflavin variant 44 variant 805,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Soy protein variant 552 variant 385,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Milk solids variant 336,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Propylene glycol alginate variant 376 variant 864 variant 314,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Mint leaves,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Aluminium ammonium sulfate variant 597 variant 515 variant 580,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 675 variant 906,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ghee variant 875,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cold pressed coconut oil variant 175,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium ascorbate variant 672 variant 998,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 544 variant 658,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 856 variant 741 variant 624,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 432 variant 724 variant 192,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Calcium disodium EDTA,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 933 variant 458 variant 834,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Hydrogenated oil variant 375 variant 562,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Niacinamide,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Aluminium ammonium sulfate variant 597 variant 62 variant 292,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium benzoate variant 650 variant 150 variant 681,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Acesulfame potassium variant 948 variant 345,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Butylated hydroxytoluene (BHT) variant 304,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 560 variant 459 variant 523 variant 824 variant 247,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium phosphate variant 81,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Guar gum variant 695 variant 708,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium acetate variant 628 variant 802,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 345,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Coconut sugar variant 620,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Cardamom variant 472 variant 588 variant 821,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Chemical stabilizer variant 442 variant 312 variant 687 variant 667,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Paneer solids variant 458 variant 57 variant 311 variant 797,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Microcrystalline cellulose variant 463,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Microcrystalline cellulose variant 411 variant 869 variant 175 variant 250 variant 434,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Maltodextrin variant 546 variant 113,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Potassium bromate,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Isomaltooligosaccharides variant 202,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 650 variant 150 variant 893 variant 651 variant 91,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Lemon juice concentrate,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Cinnamon variant 937 variant 692 variant 995 variant 750 variant 52,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Pea protein variant 430 variant 192 variant 482,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sea salt,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Xanthan gum variant 138 variant 501,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Isomaltooligosaccharides,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 282,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Color Red 40 variant 148 variant 604 variant 725,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Paneer solids variant 458 variant 941 variant 841 variant 253 variant 884,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Black salt variant 667 variant 733,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Flavor enhancer 635,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Propionate preservative variant 424 variant 691,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Folic acid,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Almonds variant 287 variant 904 variant 399 variant 227,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Zinc oxide variant 78,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Olive oil variant 577 variant 581 variant 352,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium acetate variant 628 variant 632,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Quinoa variant 970 variant 998 variant 229,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Almonds variant 122,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Lactic acid variant 76 variant 894 variant 769,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sucralose,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 474,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium sulfite variant 197 variant 766,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Fumaric acid variant 682 variant 664,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Isomaltooligosaccharides variant 936,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cocoa powder variant 661 variant 338,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Coconut sugar variant 620 variant 585 variant 405,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Flax seeds variant 189,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Inulin variant 585 variant 355 variant 559,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Artificial butter flavor variant 510 variant 92 variant 624,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Pectin variant 250 variant 343 variant 422,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Potassium bromate variant 806,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Cocoa powder variant 744 variant 45 variant 24 variant 164,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Hydrogenated oil variant 596 variant 500,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Quinoa variant 395 variant 159 variant 518,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Triethyl citrate variant 474 variant 869 variant 772,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ethyl maltol,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 424,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Lactic acid variant 47,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Paneer solids variant 458 variant 941 variant 841,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Xanthan gum variant 138 variant 501 variant 80 variant 357,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Potassium nitrate variant 560 variant 183,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Dimethylpolysiloxane variant 170 variant 343 variant 456,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 159 variant 530 variant 785,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ginger variant 728 variant 893 variant 944,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 593 variant 580,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sunflower oil variant 956,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Potassium nitrate variant 635,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Isomaltooligosaccharides variant 202 variant 955,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
